Transit (row) / Origin (Column) ASN-ASNAME,99999-CL
7004-CTC Transmisiones Regionales S.A.,0.26492
12956-Telefonica International Wholesale S,0.22641
3356-Level 3 Communications Inc.,0.18574
27978-Telmex Servicios Empresariales S.A.,0.14637
27986-ENTEL CHILE S.A.,0.09783
14259-Gtd Internet S.A.,0.08735
262589-INTERNEXA Brasil Operadora de Teleco,0.05065
7418-TELEFÃNICA CHILE S.A.,0.03511
2914-NTT America Inc.,0.03415
6762-TELECOM ITALIA SPARKLE S.p.A.,0.03033
3549-Level 3 Communications Inc.,0.02344
6453-TATA COMMUNICATIONS (AMERICA) INC,0.01815
6429-Telmex Chile Internet S.A.,0.01417
174-Cogent Communications,0.01066
23352-Server Central Network,0.00815
6471-ENTEL CHILE S.A.,0.00716
1299-Telia Company AB,0.00551
18747-IFX Corporation,0.00509
3257-GTT Communications Inc.,0.00444
3491-PCCW Global Inc.,0.00441
132165-Connect Communications,0.00279
28513-Uninet S.A. de C.V.,0.00251
16629-CTC. CORP S.A. (TELEFONICA EMPRESAS),0.00203
27750-CooperaciÃ³n Latino Americana de R,0.00195
5511-Orange S.A.,0.00194
51964-Equant Inc.,0.00191
2647-Societe Internationale de Telecommun,0.00185
52468-UFINET PANAMA S.A.,0.0018
206610-Pindo S.a.,0.00176
262182-Media Networks Latin America SAC,0.00163
7049-Silica Networks Argentina S.A.,0.00155
701-MCI Communications Services Inc. d/b,0.00145
209341-unknown,0.00143
17557-Pakistan Telecommunication Company L,0.0014
263702-ZGLOBALHOST LTDA.,0.00134
27995-CLARO CHILE S.A.,0.00132
264409-YAX ADMINISTRACAO E TECNOLOGIA LTDA ,0.00113
6461-Zayo Bandwidth,0.00109
52280-INTERNEXA Chile S.A.,0.00106
52320-GlobeNet Cabos Submarinos Colombia S,0.00104
14117-Telefonica del Sur S.A.,0.00089
11340-Red Universitaria Nacional,0.00084
6939-Hurricane Electric Inc.,0.00082
10021-KVH Co.Ltd,0.00071
8220-COLT Technology Services Group Limit,0.00051
262237-Orbyta S.A.,0.00047
1273-Vodafone Group PLC,0.00044
7473-Singapore Telecommunications Ltd,0.00042
7018-AT&T Services Inc.,0.00038
20965-GEANT Limited,0.00037
61317-Digital Energy Technologies Limited,0.00036
2516-KDDI CORPORATION,0.00035
20473-Choopa LLC,0.00034
263688-INTESIS CHILE S.A,0.00032
23520-Columbus Networks USA Inc.,0.00032
134823-Sky Digital Co. Ltd.,0.00032
36352-ColoCrossing,0.00031
3223-Voxility S.R.L.,0.00027
397373-unknown,0.00026
6505-EQUANT BRASIL LTDA,0.00025
10753-Level 3 Communications Inc.,0.00025
14935-Monticello Networks Inc.,0.00024
10778-MCL Internet,0.00024
6830-Liberty Global Operations B.V.,0.00023
22850-Ceretel Incorporated,0.0002
12552-IP-Only Networks AB,0.0002
52368-ZAM LTDA.,0.00016
264806-TNA Solutions SpA,0.00016
264641-LanProject SPA,0.00015
59796-Storm Systems LLC,0.00014
4230-CLARO S.A.,0.00014
286-KPN B.V.,0.00013
15311-Telefonica Empresas,0.00013
13030-Init7 (Switzerland) Ltd.,0.00013
55039-Ednetics Inc.,0.00012
40676-Psychz Networks,0.00012
29075-Lost Oasis SARL,0.00012
11537-Internet2,0.00012
3320-Deutsche Telekom AG,0.00011
28124-NETELL TELECOMUNICACOES LTDA,0.00011
99999-CL,0.0
9121-Turk Telekomunikasyon Anonim Sirketi,0.0
8764-Telia Lietuva AB,0.0
7029-Windstream Communications LLC,0.0
6079-RCN,0.0
57866-Fusix Networks B.V.,0.0
5713-Telkom SA Ltd.,0.0
51269-HEXATOM s.a.r.l.,0.0
4809-China Telecom Next Generation Carrie,0.0
4651-The Communications Authority of Thai,0.0
42926-Radore Veri Merkezi Hizmetleri A.S.,0.0
42708-Portlane AB,0.0
42525-GlobalConnect A/S,0.0
41327-TechInfoTel Ltd.,0.0
40528-ICANN,0.0
39839-DK Hostmaster A/S,0.0
38930-LeaseWeb Network B.V.,0.0
37468-Angola Cables,0.0
35415-Webzilla B.V.,0.0
33891-Core-Backbone GmbH,0.0
33576-ASN-Digicel,0.0
31500-LLC GLOBALNET,0.0
31424-nexellent ag,0.0
3132-Red Cientifica Peruana,0.0
31216-BSO Network Solutions SAS,0.0
31027-Nianet A/S,0.0
29208-Dial Telecom a.s.,0.0
266826-unknown,0.0
263798-UFINET COLOMBIA S. A.,0.0
25899-LS Networks,0.0
25248-RADIOKOMUNIKACE a.s.,0.0
24961-myLoc managed IT AG,0.0
23884-Proimage Engineering and Communicati,0.0
22661-Telex Chile S.A.,0.0
22364-Telefonica USA Inc.,0.0
21838-IMPSAT FIBER NETWORKS INC,0.0
20562-Broadband Hosting B.V,0.0
200780-APPLIWAVE SAS,0.0
19174-China Unicom (Americas) Operations L,0.0
18678-INTERNEXA S.A. E.S.P,0.0
1836-green.ch AG,0.0
17984-PCCW-HKT Network Services Limited,0.0
1764-Next Layer Telekommunikationsdienstl,0.0
16876-ICANN,0.0
134190-IPDC SOLUTIONS SDN BHD,0.0
13193-Nerim SAS,0.0
13101-ennit server GmbH,0.0
12570-itself s.r.o.,0.0
11404-vanoppen.biz LLC,0.0
11164-Internet2,0.0
11096-FloridaNet,0.0
11058-CABASE Camara Arg de Base de Datos y,0.0
10429-Telefonica Data S.A.,0.0
9002-RETN Limited,9e-05
8447-A1 Telekom Austria AG,9e-05
1221-Telstra Managed Network Services,9e-05
61526-PIT CHILE SP,8e-05
61102-Interhost Communication Solutions Lt,8e-05
55259-Neutrona Networks International LLC,8e-05
4766-Korea Telecom,8e-05
394094-Intellectica Systems Inc.,8e-05
3267-State Institute of Information Techn,8e-05
29802-HIVELOCITY VENTURES CORP,8e-05
27901-Pacifico Cable S.A.,8e-05
266731-unknown,8e-05
262167-Redcol S.A.,8e-05
22388-Indiana University,8e-05
20764-CJSC RASCOM,8e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,8e-05
64116-unknown,7e-05
18881-TELEFÃNICA BRASIL S.A,7e-05
7660-Asia Pacific Advanced Network - Japa,6e-05
7474-Optus Vision,6e-05
5583-Orange S.A.,6e-05
45352-IP ServerOne Solutions Sdn Bhd,6e-05
42745-Safe Value Limited,6e-05
3303-Swisscom (Switzerland) Ltd,6e-05
6661-POST Luxembourg,5e-05
2497-Internet Initiative Japan Inc.,5e-05
15576-NTS workspace AG,5e-05
8468-ENTANET International Limited,4e-05
6421-TATA COMMUNICATIONS (AMERICA) INC,4e-05
61522-PIT CHILE SP,4e-05
43578-MBA DATACENTERS S.L.,4e-05
40824-WZ Communications Inc.,4e-05
4004-Sprint International,4e-05
3462-Data Communication Business Group,4e-05
28917-LLC "TRC FIORD",4e-05
2603-NORDUnet,4e-05
21320-GEANT Limited,4e-05
206376-Intellectica Systems India Private L,4e-05
20485-Closed Joint Stock Company TransTele,4e-05
202984-Chernyshov Aleksandr Aleksandrovich,4e-05
20207-Gigared S.A.,4e-05
17378-TIERPOINT PENNSYLVANIA TWO LLC,4e-05
14551-MCI Communications Services Inc. d/b,4e-05
14080-Telmex Colombia S.A.,4e-05
12389-PJSC Rostelecom,4e-05
12200-Rackspace Hosting,4e-05
9924-Taiwan Fixed Network Telco and Netwo,3e-05
6777-Amsterdam Internet Exchange B.V.,3e-05
35280-ACORUS NETWORKS SAS,3e-05
32098-Transtelco Inc,3e-05
27678-NIC Chile,3e-05
263237-POWER HOST E.I.R.L.,3e-05
25091-IP-Max SA,3e-05
1257-TELE2,3e-05
11014-CPS,3e-05
10481-Prima S.A.,3e-05
9680-HiNet IPv6 Service Network.,2e-05
8758-Iway AG,2e-05
8732-OJSC Comcor,2e-05
8455-Schuberg Philis B.V.,2e-05
7545-TPG Telecom Limited,2e-05
6730-Sunrise Communications AG,2e-05
59689-Keyade SAS,2e-05
5400-British Telecommunications plc,2e-05
45474-Suite 2101~02 21/F Tower 2 Nina Towe,2e-05
42-WoodyNet,2e-05
3216-PJSC "Vimpelcom",2e-05
29119-ServiHosting Networks S.L.,2e-05
22927-Telefonica de Argentina,2e-05
209-Qwest Communications Company LLC,2e-05
198385-AlpineDC SA,2e-05
19747-Datavail,2e-05
19429-ETB - Colombia,2e-05
18734-Operbes S.A. de C.V.,2e-05
1853-ACONET,2e-05
1680-013 NetVision Ltd,2e-05
16735-ALGAR TELECOM S/A,2e-05
15440-UAB "Baltnetos komunikacijos",2e-05
15412-Reliance Globalcom Limited,2e-05
12400-Partner Communications Ltd.,2e-05
1239-Sprint,2e-05
12189-PhoenixNAP LLC,2e-05
12180-Internap Network Services Corporatio,2e-05
9116-012 Smile Communications LTD.,1e-05
9044-BSE Software GmbH,1e-05
8926-Moldtelecom SA,1e-05
8218-Zayo France SAS,1e-05
7922-Comcast Cable Communications LLC,1e-05
7162-Universo Online S.A.,1e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,1e-05
58073-YISP B.V.,1e-05
58057-TeleMontazh Ltd.,1e-05
5580-Hibernia Networks (Netherlands) BV,1e-05
51531-DE-CIX Management GmbH,1e-05
46786-IP Transit Inc.,1e-05
4657-Singapore Government Network AS,1e-05
4637-Telstra Global - Customer AS Number,1e-05
395378-Cascade Divide Colo Inc.,1e-05
31133-PJSC MegaFon,1e-05
30781-Jaguar Network SAS,1e-05
29838-Atlantic Metro Communications LLC,1e-05
2828-MCI Communications Services Inc. d/b,1e-05
28005-Digicel (Panama) S.A,1e-05
27008-BendTel,1e-05
26615-Tim Celular S.A.,1e-05
263682-CHILENETWORKS SPA,1e-05
262195-Transamerican Telecomunication S.A.,1e-05
25192-CZ.NIC z.s.p.o.,1e-05
22860-SERVICIOS INTERNET LTDA,1e-05
22548-NÃºcleo de Inf. e Coord. do Ponto ,1e-05
20080-Florida International University,1e-05
18479-Universo Online S.A.,1e-05
17408-AboveNet Communications Taiwan,1e-05
16713-Northwest Open Access Network,1e-05
15836-Arax-Impex s.r.l.,1e-05
1280-Internet Systems Consortium Inc.,1e-05
12182-Internap Network Services Corporatio,1e-05
11432-Telium TelecomunicaÃ§Ãµes Ltda,1e-05
